no,image_name,detect_num,type,type_id,image_height,image_width,figure,points,count,center_x,center_y,area,defect_height,defect_width,crack_straight,crack_ratio of perimeter and area,crack_cir,date
1,ST1_AJR_HCL_DOWN_LU_MERGE_0001,0001,etc,etc_0001,1426,3814,,"[[1605, 426], [1605, 430], [1603, 432], [1603, 433], [1602, 434], [1602, 435], [1601, 436], [1598, 436], [1598, 474], [1601, 474], [1604, 477], [1608, 477], [1610, 475], [1611, 475], [1612, 474], [1612, 473], [1614, 471], [1616, 471], [1618, 473], [1618, 474], [1621, 477], [1625, 477], [1627, 475], [1627, 474], [1628, 473], [1627, 472], [1627, 470], [1626, 469], [1626, 468], [1624, 466]]",30,,,1201.5,30.0,51.0,,,,2025-08-28
2,ST1_AJR_HCL_DOWN_LU_MERGE_0001,0002,etc,etc_0002,1426,3814,,"[[3512, 426], [3512, 430], [3511, 431], [3511, 432], [3509, 434], [3506, 434], [3506, 475], [3510, 475], [3513, 478], [3513, 481], [3517, 481], [3517, 478], [3518, 477], [3519, 477], [3520, 476], [3521, 476], [3522, 475], [3523, 476], [3524, 476], [3525, 477], [3526, 477], [3527, 478], [3527, 481], [3530, 481], [3530, 478], [3532, 476], [3533, 476], [3534, 475], [3537, 475], [3537, 468]]",30,,,1239.5,31.0,55.0,,,,2025-08-28
3,ST1_AJR_HCL_DOWN_LU_MERGE_0001,0003,etc,etc_0003,1426,3814,,"[[1606, 1138], [1606, 1141], [1605, 1142], [1605, 1143], [1603, 1145], [1603, 1146], [1602, 1147], [1602, 1149], [1601, 1150], [1598, 1150], [1598, 1186], [1601, 1186], [1603, 1188], [1603, 1189], [1604, 1189], [1605, 1190], [1607, 1190], [1608, 1189], [1609, 1189], [1610, 1188], [1611, 1188], [1614, 1185], [1615, 1185], [1616, 1186], [1617, 1186], [1620, 1189], [1621, 1189], [1622, 1190], [1625, 1190], [1627, 1188]]",30,,,1219.0,30.0,52.0,,,,2025-08-28
4,ST1_AJR_HCL_DOWN_LU_MERGE_0001,0004,etc,etc_0004,1426,3814,,"[[3513, 1138], [3512, 1142], [3510, 1145], [3509, 1147], [3508, 1149], [3507, 1156], [3505, 1160], [3502, 1181], [3507, 1183], [3508, 1185], [3509, 1187], [3511, 1190], [3513, 1191], [3515, 1190], [3518, 1189], [3521, 1187], [3523, 1188], [3526, 1189], [3528, 1190], [3532, 1189], [3534, 1188], [3537, 1181], [3531, 1178], [3530, 1175], [3529, 1172], [3528, 1169], [3527, 1166], [3528, 1164], [3529, 1160], [3530, 1158]]",30,,,1284.0,35.0,53.0,,,,2025-08-28
