no,image_name,detect_num,type,type_id,image_height,image_width,figure,points,count,center_x,center_y,area,defect_height,defect_width,crack_straight,crack_ratio of perimeter and area,crack_cir,date
84,ST1_WB_SI_DETECT_0152,0002,etc,etc_0002,572,1838,,"[[1369, 254], [1369, 258], [1368, 259], [1368, 260], [1367, 261], [1362, 261], [1362, 281], [1368, 281], [1368, 278], [1369, 277], [1370, 277], [1372, 275], [1373, 275], [1374, 274], [1375, 274], [1376, 275], [1379, 275], [1380, 276], [1381, 276], [1382, 277], [1386, 277], [1390, 273], [1390, 270], [1391, 269], [1391, 264], [1392, 263], [1392, 254], [1383, 254], [1383, 257], [1382, 258]]",30,,,591.5,30.0,27.0,,,,2025-09-02
85,ST1_WB_SI_DETECT_0153,0001,etc,etc_0001,568,1820,,"[[1398, 242], [1398, 253], [1409, 253], [1409, 242]]",4,,,121.0,11.0,11.0,,,,2025-09-02
86,ST1_WB_SI_DETECT_0155,0001,etc,etc_0001,580,1864,,"[[1482, 278], [1482, 291], [1486, 291], [1487, 292], [1488, 292], [1489, 293], [1494, 293], [1495, 292], [1497, 292], [1499, 290], [1500, 290], [1500, 289], [1502, 287], [1505, 287], [1505, 285], [1502, 285], [1501, 284], [1501, 283], [1500, 282], [1500, 278]]",20,,,264.5,23.0,15.0,,,,2025-09-02
87,ST1_WB_SI_DETECT_0157,0001,etc,etc_0001,621,1960,,"[[1274, 234], [1274, 245], [1278, 245], [1279, 244], [1282, 244], [1283, 243], [1284, 243], [1285, 242], [1286, 242], [1288, 240], [1289, 240], [1292, 237], [1292, 234]]",13,,,153.0,18.0,11.0,,,,2025-09-02
88,ST1_WB_SI_DETECT_0157,0002,etc,etc_0002,621,1960,,"[[1306, 246], [1306, 256], [1310, 256], [1311, 255], [1312, 255], [1313, 254], [1314, 254], [1314, 253], [1315, 252], [1315, 251], [1316, 250], [1316, 246]]",12,,,86.0,10.0,10.0,,,,2025-09-02
89,ST1_WB_SI_DETECT_0157,0003,etc,etc_0003,621,1960,,"[[626, 254], [626, 260], [630, 260], [632, 262], [633, 262], [637, 266], [637, 269], [646, 269], [646, 265], [648, 263], [648, 259], [647, 258], [647, 254]]",13,,,236.5,22.0,15.0,,,,2025-09-02
90,ST1_WB_SI_DETECT_0159,0001,crack,crack_0001,615,1984,,"[[738, 202], [745, 210], [751, 213], [756, 215], [760, 217], [764, 219], [770, 223], [778, 229], [788, 241], [790, 245], [792, 250], [794, 254], [796, 261], [798, 270], [798, 282], [796, 287], [794, 291], [792, 297], [797, 292], [800, 286], [802, 260], [799, 252], [797, 248], [795, 243], [792, 238], [790, 234], [779, 223], [771, 217], [767, 215], [763, 213]]",30,,,689.0,67.0,95.0,,,,2025-09-02
91,ST1_WB_SI_DETECT_0159,0002,etc,etc_0002,615,1984,,"[[1402, 258], [1402, 283], [1406, 283], [1407, 282], [1407, 281], [1408, 280], [1408, 279], [1412, 275], [1412, 273], [1413, 272], [1413, 271], [1414, 270], [1417, 270], [1417, 263], [1414, 263], [1413, 262], [1413, 258]]",17,,,266.5,15.0,25.0,,,,2025-09-02
92,ST1_WB_SI_DETECT_0160,0001,etc,etc_0001,609,1920,,"[[1434, 262], [1434, 279], [1440, 279], [1441, 280], [1442, 279], [1445, 279], [1446, 278], [1447, 278], [1449, 276], [1450, 276], [1453, 273], [1457, 273], [1457, 262]]",13,,,346.0,23.0,18.0,,,,2025-09-02
93,ST1_WB_SI_DETECT_0160,0002,etc,etc_0002,609,1920,,"[[690, 270], [690, 301], [693, 301], [694, 300], [694, 299], [695, 298], [695, 296], [696, 295], [696, 293], [697, 292], [697, 291], [698, 290], [701, 290], [701, 270]]",14,,,280.5,11.0,31.0,,,,2025-09-02
94,ST1_WB_SI_DETECT_0160,0003,crack,crack_0003,609,1920,,"[[706, 214], [717, 219], [721, 221], [726, 223], [730, 225], [734, 227], [739, 230], [747, 236], [750, 239], [752, 243], [755, 249], [757, 253], [760, 259], [762, 267], [762, 279], [760, 285], [758, 289], [754, 295], [752, 301], [757, 296], [762, 289], [765, 284], [767, 275], [767, 263], [765, 258], [763, 253], [760, 248], [758, 244], [754, 238], [745, 229]]",30,,,572.5,62.0,87.0,,,,2025-09-02
95,ST1_WB_SI_DETECT_0163,0001,etc,etc_0001,615,1942,,"[[638, 314], [638, 325], [641, 325], [642, 324], [649, 324], [650, 323], [651, 323], [652, 322], [653, 322], [654, 321], [657, 321], [657, 314]]",12,,,177.0,19.0,11.0,,,,2025-09-02
96,ST1_WB_SI_DETECT_0168,0001,etc,etc_0001,610,1940,,"[[1520, 270], [1520, 273], [1518, 275], [1514, 275], [1514, 283], [1518, 283], [1519, 282], [1520, 282], [1523, 279], [1524, 279], [1530, 273], [1533, 273], [1533, 270]]",13,,,134.0,19.0,13.0,,,,2025-09-02
